Author,Title,URL,Description,Published
 Erin Beers,MIDDLE GRADES WORD WORK RESOURCE,https://mrsbeers.com/middle-grades-word-work-resourcecheck/,Research shows that expanded vocabulary and correct spelling allow for more ?uent reading and writing thus speeding up the ability to comprehend what is read and get thinking down on the paper.?,27-Jun-12
Erin Beers,INCORPORATING CONFLICT MANAGEMENT INTO DAILY INSTRUCTION,https://mrsbeers.com/incorporating-conflict-management-into/,"As a 6th grade teacher I find that I spend a HUGE portion of many of my days engaged in conflict management and resolution with my students.  As early adolescents, my students are learning how to engage, interact, and navigate through daily experiences with peers, family, and teachers.",6-Aug-12
Suzanne Shaffer,MOM-APPROVED TIPS: WHAT ARE YOU COMMUNICATING TO YOUR TEENAGER?,https://www.parentingforcollege.com/2013/08/19/mom-approved-tips-what-are-you-communicating-to-your-teenagers/,You know the drill. You feel you have to stay on them for every little thing or it won?t get accomplished.,19-Aug-13
Khelo India,How to prepare General Studies and Essays for UPSC?,https://thesupermanreturns.wordpress.com/upsc/upsc-gs/?ref=upscprep.com,Getting the basics right - from where and how to Begin,28-Dec-13
Neha Banerjee,Not Just an Aspirant,https://nebanerjee.blogspot.com/?ref=upscprep.com,Interview - transcript and experience,22-Aug-20
 Mary Ellen Flannery,Seven Things to Know about the 2022 NEA Higher Educator of the Year,https://www.nea.org/nea-today/all-news-articles/seven-things-know-about-2022-nea-higher-educator-year,"Bonniejean Alford, a writer, editor, blogger, podcaster, publisher, photographer and super fan of musician Richard Marx?not to mention an instructor and union leader at Illinois? College of DuPage?has been named the 2022 NEA Higher Educator of the Year. ",31-Mar-22
Michael Collins,Pearson?s Maestro of Marketing Brings a Human Touch to a Customer-Centric Strategy,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/07/pearson_s-maestro-of-marketing-brings-a-human-touch-to-a-custome.html,"Since Michael Collins joined Pearson Online Learning Services as senior vice president of marketing and learner acquisition, he?s been working to harmonize and humanize everything we do to engage and enroll learners in our partners? online programs.",26-Jul-22
Scot Chadwick,Find Your ?Why? to Reach Shared Success in OPM Partnerships,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/09/find-your-why-to-reach-shared-success-in-opm-partnerships.html,"Scot Chadwick, Pearson?s Vice President of Partner Success, knows exactly why he pursued a career in higher education: to change lives, and reach non-traditional learners who couldn?t access traditional on-campus programs.    ",1-Sep-22
Sherry J. Roberts,Why we should teach personal finance in high schools,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/10/why-we-should-teach-personal-finance-in-high-schools.html,"Reading, writing, and arithmetic are important foundations for all school-age students to help prepare them to be productive citizens.",6-Oct-22
Pearson,Improve learning by adding video,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/10/improve-learning-by-adding-video.html,"Video is everywhere. With more than a billion hours of video footage viewed on YouTube every day,1 it is a medium that most students are both familiar and comfortable with.",18-Oct-22
Michael Casey,A few personal finance lessons from the pandemic,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/10/a-few-personal-finance-lessons-from-the-pandemic.html,Recent high school graduates are making financial choices during a pandemic that will impact their financial lives moving forward.,31-Oct-22
Caladra Davis,The role of remote proctoring tools in academic integrity,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2022/11/the-role-of-remote-proctoring-tools-in-academic-integrity.html,Academic integrity has been of paramount concern in distance education since its inception.,31-Oct-22
Pearson,The top 6 MyLab features you should be using,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/01/the-top-6-mylab-features-you-should-be-using.html,"As an instructor, shouldn?t you have the flexibility, ease, and control to customize your own courses",27-Jan-23
Pearson,The importance of promoting mental wellness to your students,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/02/the-importance-of-promoting-mental-wellness-to-your-students.html,"Even before the COVID-19 pandemic, U.S. colleges and universities have faced a mounting mental health crisis impacting students of higher education. ",10-Feb-23
Eric Schulz,Visualize Calculus. It?s a Revolution.,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/03/visualize-calculus-its-a-revolution.html,Many virtual resources exist in MyLab and elsewhere to help students see concepts of calculus.,2-Mar-23
Cathy Evins,How To Make Group Projects More Valuable (and Less Terrible!),https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/03/how-to-make-group-projects-more-valuable.html,"Admit it, group projects can be a drag--not only for your students, but also for you as the instructor.",2-Mar-23
Terri Moore,"ChatGPT, YIKES!!!",https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/03/chatgpt--yikes.html,"Preventing cheating is a challenge we all face today given not only students? ingenuity, but also the available student tools on the internet that publish tests and answers from many, many courses. And now there is... ChatGPT!!!",14-Mar-23
George Woodbury,Emphasizing development of the Affective Domain and ?Soft Skills? in Collegiate Math,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/03/emphasizing-development-of-the-affective-domain.html,"Although students are reaching college-level math classes sooner due to many of the recent acceleration projects, they often arrive without developing many of the student skills that would improve their chances for success.",15-Mar-23
Margot Banen,Studying with ADHD ? A College Student?s Perspective,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/04/studying-with-adhd-a-college-students-perspective.html,These are some classic signs of ADHD ? and people were talking about me that way.,12-Apr-23
Anita Woolfolk Hoy,The Role of Culture and Diversity in Learning and Teaching Educational Psychology,https://pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/06/the-role-of-culture-and-diversity-in-learning-and-teaching-educational-psychology.html,Who are you as a person and an educator? How have the various facets of your cultural and social identities shaped your own experiences and views?,13-Jun-23
Pearson,Pearson Higher Ed Congratulates the 2022 Excellence in Higher Ed Award Winners,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/06/pearson-higher-ed-congratulates-the-2022-excellence-in-higher-ed.html,"At Pearson, we are committed to helping students improve their life through learning and provide the instructors with the tools to help them be successful. ",15-Jun-23
David Delgado Shorter,"Teaching Evaluations Are Racist, Sexist, and Often Useless",https://www.chronicle.com/article/teaching-evaluations-are-racist-sexist-and-often-useless,It's time to put these flawed measures in their place.,11-Jul-23
Cathy Evins,"Multi-sensory, Multi-modal Instruction",https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/07/multi-sensory-multi-modal-instruction.html,"Of the many things I have learned over the years, there are a few that I will never forget: how to identify a Loblolly Pine tree, how to visualize a tangent line to a curve, and over 1,000 vocabulary words.",27-Jul-23
Dave Tomar,The 30 Most Controversial Topics for Your Position Paper,https://academicinfluence.com/inflection/controversial-topics/most-controversial-topics-today,"We answer these questions with our ranking of The 30 Most Controversial Topics Today. We also provide an objective overview of these controversial issues, which makes this a great source for finding controversial essay topics!",28-Jul-23
Kyle Moninger,Nurturing a Growth Mindset: 6 Tips for College Instructors,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/08/nurturing-a-growth-mindset--6-tips-for-college-instructors.html,"As college students and their instructors return to school, it?s important to remember that fostering a growth mindset in students can significantly impact their learning experience and academic success.",7-Aug-23
Terri Moore,Tips to Help Instructors Feel Inspired at the Start of a New School Year,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/09/tips-to-help-instructors-feel-inspired-in-new-school-year.html,"We survived teaching through the COVID-19 pandemic, teaching in the early days post-pandemic, and this year we thought we would be returning to some new normal in our classrooms.",14-Aug-23
Pearson,Cultivating Empowered Learners: An educator spotlight on Pearson eTextbooks,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/08/cultivating-empowered-learners--an-educator-spotlight-on-pearson.html,"Justin Hoshaw, associate professor of biology at Waubonsee Community College, knows that an educator must always search for more effective ways to support their students? learning",15-Aug-23
Cathy Evins and Kiahna Seijo,Change Up Your Study Habits to Transform the Way You Learn,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/08/change-up-your-study-habits-to-transform-the-way-you-learn.html,"Acronyms always help me remember things, so here is an acronym to help you remember the different learning styles: VARK. It stands for visual, auditory, read/write, and kinesthetic/tactile.",15-Aug-23
Pearson,Supportive Student-Teacher Relationships are Key to Nursing Student Success,https://www.pearson.com/en-us/higher-education/insights-and-events/teaching-and-learning-blog/2023/08/supportive-student-teacher-relationships-are-key-to-nursing-student-success.html,More than 3.5 million nurses around the country are currently providing a variety of essential healthcare services. ,22-Aug-23
Brittany R. Collins,Developing an Experiential Learning Program,https://www.edutopia.org/article/developing-experiential-learning-program,A Vermont school program connected to local trades shows how experiential learning can boost engagement for middle and high school students.,22-Aug-23
Beth McMurtrie,Americans Value good teaching.Do colleges?,https://www.chronicle.com/article/americans-value-good-teaching-do-colleges,"Sometime after the spring of their sophomore year, the mailboxes of college-bound teenagers begin filling with college brochures.",20-Sep-23
Lee Hendricks,How Interlinking Learning Promotes Critical Thinking in Middle School,https://www.edutopia.org/article/interlinking-learning-middle-school-promotes-critical-thinking,Fostering connections between subjects encourages students to think deeply about big problems and questions at the core of their work.,28-Sep-23
Charlotte Matherly,A Spat Over Teaching Evaluations Roils a Department,https://www.chronicle.com/article/a-spat-over-teaching-evaluations-roils-a-department,"When economics faculty members at James Madison University received their annual evaluations this summer, some of them were taken aback.",25-Oct-23
 Erin Beers,TEACHER TIPS: 3 FIXES FOR PDF PRINTING ISSUES,https://mrsbeers.com/3-fixes-for-pdf-printing-issues/,"Nothing is more frustrating for teachers than having PDF printing issues right when you need to print out your lesson plans. Not only have I experienced this dozens of times in my own classroom, but as a Teachers Pay Teachers creator, I get PDF printing questions from teachers across the world.",9-Nov-23
 Erin Beers,CLASSROOM PARTY GAME! ?UNWRAP A PARTY BALL?,https://mrsbeers.com/classroom-party-game-unwrap-party-ball/,Are you looking for a fun activity to try at your next holiday classroom party? This saran wrap ball game is an absolute blast for all ages. Your student will love furiously unwrapping the ball to unlock the candy and prizes you have hidden inside.,12-Nov-23
 Erin Beers,A THANKSGIVING READER?S THEATER FOR MIDDLE GRADES!,https://mrsbeers.com/thanksgiving-readers-theater/,"If you are looking for an engaging Thanksgiving activity to try with your middle school ELA class, my Thanksgiving reader?s theater script and comprehension activities are a great option.",13-Nov-23
 Erin Beers,QUICK TIPS FOR USING TPT GOOGLE SLIDES RESOURCES,https://mrsbeers.com/tips-for-tpt-google-slides-resources/,"Do you use Google Slides in your classroom? All of my middle school students are issued Chromebooks at the start of the year, and my teammates and I utilize digital resources in Google Classroom on a daily basis",17-Nov-23
 Erin Beers,5 LANGUAGE ARTS HOLIDAY ACTIVITIES FOR MIDDLE SCHOOL,https://mrsbeers.com/holidayfunforbigkids/,"The days leading up to Christmas break can get a little crazy with all of the special events and shortened class periods, but they also offer a chance to try some of the language arts holiday activities we find on Pinterest.",24-Nov-23
Kathy Collier,How to Use Universal Design for Learning to Create Assessments,https://www.edutopia.org/article/universal-design-for-learning-approach-assessment,"Providing elementary students with multiple means of action and expression helps ensure that teachers create equitable, valid assessments.",27-Nov-23
 Erin Beers,HOLIDAY READERS THEATER SCRIPTS FOR THE MIDDLE SCHOOL CLASSROOM,https://mrsbeers.com/holiday-readers-theater/,"Reader?s theater is a great teaching resource to try in your middle school classroom during the holidays. As a 7th grade teacher, I aim to create ELA activities that are both engaging and purposeful to use during the days leading up to Christmas break. ",3-Dec-23
Luna Laliberte and Fernanda Zamudio-Suarez,Hispanic Americans want to go to college. They?re more likely than their white counterparts to consider it.,https://www.chronicle.com/article/hispanics-want-to-enroll-in-college-but-they-dont-know-how-to-get-there,Hispanic Americans want to go to college. They?re more likely than their white counterparts to consider it.,7-Dec-23
 Erin Beers,DECEMBER ELA FAVORITES FOR MIDDLE SCHOOL,https://mrsbeers.com/december-ela-favorites-for-middle-school/,"It?s the final stretch before Christmas break, and that means it is time to add some holiday fun to our reading and writing lesson plans! Students are brimming with excitement for the holidays, so as teachers, we need to get creative with our ELA lesson plans to keep kids engaged and on task.",11-Dec-23
